t (us),Omega_x (2pi MHz),Omega_y (2pi MHz),Omega_z (2pi MHz)
0.00017847371,46.936386,64.78407,0.0
0.0001794203,44.327606,66.59627,0.0
0.00019196363,39.93701,69.31836,0.0
0.0001921888,49.186943,63.092346,0.0
8.0748076e-05,59.10288,53.91521,0.0
0.0002108496,17.917255,77.967766,0.0
0.00023060103,15.49397,78.48527,0.0
0.00023758825,13.931677,78.77759,0.0
0.00015086702,11.395062,79.184296,0.0
0.00026233,-9.4198475,79.44348,0.0
9.497159e-05,14.092498,78.74898,0.0
0.00019707857,-4.7102504,79.86121,0.0
0.00022778445,9.899038,79.38519,0.0
0.00015364737,7.1384025,79.68088,0.0
0.00018537862,43.531933,67.11908,0.0
0.00011619549,39.687798,69.46135,0.0
9.666123e-05,48.387676,63.707397,0.0
0.00017774399,56.722282,56.414383,0.0
0.0001583299,61.50522,51.15768,0.0
0.00013422692,63.284157,48.93992,0.0
0.00012304047,68.10141,41.97855,0.0
8.2555736e-05,67.77625,42.50152,0.0
0.00026367686,67.41103,43.07844,0.0
0.00015858658,66.71815,44.14395,0.0
0.00015274347,65.57412,45.82614,0.0
0.00015005279,67.51088,42.9218,0.0
8.454818e-05,66.86514,43.92098,0.0
0.00018777906,64.78271,46.938267,0.0
0.00020919865,68.32701,41.61033,0.0
0.00019231267,69.7163,39.238216,0.0
0.00015834508,71.15918,36.556416,0.0
0.0001472595,67.92017,42.271152,0.0
0.00015109828,71.59947,35.68635,0.0
0.0001327082,68.00101,42.14099,0.0
9.4344825e-05,72.9605,32.814095,0.0
0.00017043845,76.678986,22.810806,0.0
0.00012175796,75.536224,26.349174,0.0
0.00018582982,79.11084,11.894346,0.0
0.00017827669,79.88905,-4.2118425,0.0
0.00019140156,75.87312,-25.362743,0.0
0.00017510282,55.324062,-57.786224,0.0
0.00015270051,38.42346,-70.16864,0.0
0.00010643105,22.176582,-76.86481,0.0
0.00023111822,6.5693955,-79.72981,0.0
0.00019391245,-0.49845722,-79.99844,0.0
0.00035475148,-21.928787,-76.935875,0.0
0.00029860827,-21.419432,-77.07923,0.0
3.995851e-05,-79.9976,-0.6202947,0.0
0.00021321188,-35.221172,-71.829445,0.0
0.000109076886,-35.132935,-71.87264,0.0
0.00013190832,-47.342,-64.48825,0.0
0.00034631373,-66.453384,-44.54153,0.0
0.00011969542,-74.84532,28.252048,0.0
0.00012897768,-52.85086,60.05653,0.0
0.0001704592,-17.220644,78.12457,0.0
0.00018416031,4.4621058,79.875465,0.0
0.00010248542,-3.675991,79.9155,0.0
9.1144095e-05,20.156097,77.4192,0.0
0.00019890748,11.610619,79.15298,0.0
0.00019036829,10.977226,79.2433,0.0
0.00022069889,10.878521,79.25691,0.0
0.00021526065,13.2962475,78.88732,0.0
0.00014982409,4.827394,79.85422,0.0
0.00019187668,8.820916,79.51221,0.0
5.0981806e-05,1.5831547,79.98434,0.0
0.00017587909,7.3332186,79.66319,0.0
0.00028653088,2.8710935,79.94846,0.0
0.00028412062,3.222629,79.93507,0.0
0.00021744506,-9.906522,79.38426,0.0
0.00025918736,-15.194748,78.54375,0.0
0.00023302619,-16.643433,78.24957,0.0
0.00025866347,-24.641026,76.11058,0.0
6.357764e-05,-2.150385,79.97109,0.0
0.000112337424,7.2870636,-79.66743,0.0
0.00011741505,2.595061,-79.9579,0.0
0.0001591993,8.358565,-79.56214,0.0
0.00020697925,14.136457,-78.7411,0.0
0.00020867778,20.379097,-77.360794,0.0
0.00022203439,26.442307,-75.50368,0.0
